Words,Class
abbbbbbbcc,1
aaaabbcccccccc,1
aaaabcccccccc,1
aaaabbbbcccccccc,1
aaabcccccc,1
abbbbbbbbcc,1
aaabbbbcccccc,1
aaaaaaaabcccccccccccccccc,1
aabbbbbcccc,1
aabbbbcccc,1
aaabbbcccccc,1
aabbbbbbbcccc,1
aaaaaabcccccccccccc,1
aaabbbbbbcccccc,1
aaaaaaaaaabbcccccccccccccccccccc,1
abbbbbbbbbbcc,1
aaaaabcccccccccc,1
aabbbbbbcccc,1
abbbbbbbbbbbcc,1
aaaaabbcccccccccc,1
abbbbbbbbbcc,1
aaabbbbbbbbcccccc,1
aaaaabbbcccccccccc,1
aaaabbbcccccccc,1
aabbbbbbbbcccc,1
aaabbcccccc,1
aabbbbbbbbbcccc,1
abbbbbbbbbbbbbcc,1
abbbbbbbbbbbbcc,1
aaabbbbbbbbbbbcccccc,1
abbbbbbbbbbbbbbcc,1
aaabbbbbcccccc,1
aabbbbbbbbbbbbcccc,1
aaaaaaabcccccccccccccc,1
aaaaaaaaabbbcccccccccccccccccc,1
aaaaabbbbbcccccccccc,1
aaaaaaabbcccccccccccccc,1
abbbbbbbbbbbbbbbbbcc,1
aaaaaabbbbcccccccccccc,1
aabbbbbbbbbbbbbbcccc,1
aabbbbbbbbbbcccc,1
aabbbbbbbbbbbbbbbbbbbbbcccc,1
aaabbbbbbbbbcccccc,1
aaaaaaaabbbbcccccccccccccccc,1
aaaaaabbbcccccccccccc,1
aaaaaaaaabbbbcccccccccccccccccc,1
aabbbbbbbbbbbbbcccc,1
aaaaaabbcccccccccccc,1
aaaaaabbbbbcccccccccccc,1
aaaabbbbbcccccccc,1
aaaaaaabbbcccccccccccccc,1
aaaaaaabbbbbcccccccccccccc,1
aaaaabbbbbbcccccccccc,1
aaaabbbccccccccccccccccccccccccc,0
abbbbbbbbbbbbbbbcc,1
aaaabbbbbbbbcccccccc,1
aaaaaaaaaabcccccccccccccccccccc,1
