Words,Class
abbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcc,1
aaabbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcc,1
abbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaabbbbbbbbbbbbcccccccccccccccccccccccccccccccc,1
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaabbbbbbbbbbbbbbbcccccccccccccccccccccccccc,1
aaaaaaabbbcccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccc,1
aabbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaabccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbcccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccccccccccc,1
aaabbbbbbbbbbbbbbbbbbbbbbbbbcccccc,1
aaaabbbbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccc,1
aaaabbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccc,1
aaaabbccccccccccccccccccccccccccccccccccccccccc,0
aaaaaabccccccccccccccccccccccccccc,0
aabbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccc,1
aaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccccccc,1
aaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccccccc,1
aabbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccc,1
aaaaaaaaaabbbbbbbbbbcccccccccccccccccccc,1
aaaaaaaaaabbbccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabcccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccc,1
aaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccc,1
aaaaaaaabbbbbbbbbbbbbbbcccccccccccccccc,1
aaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccccc,1
aaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccccc,1
aaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccc,1
aaaaaabbbbbbbbbbbbbbbbbbbbcccccccccccc,1
aaaaabbbccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabcccccccccccccc,0
aaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccc,1
aaabcccccccc,0
aaabbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccc,1
aaaaaaaaabbbbbbbbbbbbbbbcccccccccccccccccc,1
abbcccccccccccccccccccccc,0
aaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccc,1
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbcccccccccccccccccccc,0
aabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccc,1
aaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccccccc,1
abbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcc,1
aaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaabbbbccccccccccccccccccccc,0
abbbccccccccccccccccccccccccccc,0
aaaabbbbcccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaabbbbcccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabbcccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbccccccccccccccccccccc,0
aabbbbbbbbbbbbbbbbbbbbbbcccc,1
aaaaaaaaaaaaaaaaaaaabbbbbbcccccccccccccccccccccccccccccccccccccccc,1
aabbbbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaabbbbbbcccccccccccccc,1
aabbbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccc,0
aaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccccccccccccccccccccccc,1
aaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbcccccccccccccccccccccccccccccccccccccccccccccccccc,1
